               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.025132,            0.014429,           0.0014635,             0.99322,                   1,               0.995,             0.64985,            0.017934,           0.0048678,          0.00031417,            0.002872,            0.002872,            0.002872
                  38,            0.025566,            0.015094,           0.0016268,             0.99436,                   1,               0.995,             0.64207,            0.017731,           0.0047895,          0.00029088,            0.002674,            0.002674,            0.002674
                  39,            0.023876,            0.016025,          0.00081752,             0.99465,                   1,               0.995,             0.65407,             0.01695,           0.0047095,          0.00028898,            0.002476,            0.002476,            0.002476
                  40,            0.025104,             0.01553,           0.0012166,             0.99323,                   1,               0.995,             0.64468,            0.017386,           0.0048639,           0.0003143,            0.002278,            0.002278,            0.002278
                  41,            0.023707,            0.014539,          0.00070436,             0.99382,                   1,               0.995,             0.64274,            0.017388,            0.004863,          0.00031144,             0.00208,             0.00208,             0.00208
                  42,            0.023665,            0.015599,          0.00077134,             0.99336,                   1,               0.995,             0.63404,            0.017903,           0.0049669,          0.00033559,            0.001882,            0.001882,            0.001882
                  43,            0.023676,             0.01461,          0.00082304,             0.99213,                   1,               0.995,             0.63906,            0.017689,           0.0050595,          0.00036961,            0.001684,            0.001684,            0.001684
                  44,            0.023789,            0.015931,          0.00091746,             0.99275,                   1,               0.995,             0.64327,            0.017436,           0.0049646,          0.00033259,            0.001486,            0.001486,            0.001486
                  45,            0.023511,            0.015212,          0.00091182,             0.99383,                   1,               0.995,             0.63431,            0.017255,           0.0048733,          0.00029758,            0.001288,            0.001288,            0.001288
                  46,             0.02375,            0.015574,          0.00091631,             0.99306,                   1,               0.995,             0.63427,            0.017412,           0.0049689,          0.00028495,             0.00109,             0.00109,             0.00109
                  47,            0.023117,            0.015193,          0.00070941,             0.99424,                   1,               0.995,             0.65437,            0.016872,           0.0047925,          0.00024517,            0.000892,            0.000892,            0.000892
                  48,            0.024084,            0.015379,          0.00057487,             0.99415,                   1,               0.995,             0.65611,            0.016938,           0.0048092,           0.0002382,            0.000694,            0.000694,            0.000694
                  49,            0.023562,            0.015146,           0.0011452,              0.9943,                   1,               0.995,             0.65805,            0.016953,           0.0048031,          0.00023156,            0.000496,            0.000496,            0.000496
